"YEAR","EL BENI","SANTA CRUZ","COCHABAMBA","PANDO","LA PAZ","TARIJA","CHUQUISACA","ORURO","POTOSI"
"2003","15948","12725","2061","1503","2080","755","1258","57","36"
"2004","23270","31341","1867","1459","1885","521","534","47","43"
"2005","25441","19318","1716","2733","2585","606","706","86","46"
"2006","16806","21968","1320","1177","1832","466","523","55","30"
"2007","16356","36898","2032","2337","2975","696","969","57","42"
"2008","16131","17863","1848","1365","2505","560","775","125","73"
"2009","9059","10400","705","982","1407","653","701","67","58"
"2010","33169","40523","2339","1980","3459","613","891","74","71"
"2011","14151","13794","1157","722","1015","480","381","37","25"
"2012","10528","8180","941","813","1444","356","359","48","39"
"2013","8283","5438","703","943","1133","451","418","102","65"
"2014","6584","5886","921","530","1399","178","235","87","71"
"2015","9376","7498","508","881","1186","117","175","82","67"
"2016","15010","14273","1227","894","2519","204","292","43","76"
"2017","12306","10879","828","856","1577","309","349","24","45"
"2018","10087","11398","693","625","1256","222","163","36","39"
"2019","13542","26033","1099","676","2075","302","409","67","70"
"2020","15151","16619","1715","1515","3047","539","1288","110","98"
