Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,-,-,-,-,85,312,1298,2054,2317,1279,218,184,7747
1999,60,128,67,71,179,220,1299,8363,7459,3968,650,154,22618
2000,154,395,171,45,101,175,395,2373,5657,2295,422,86,12269
2001,49,78,58,42,58,191,631,3568,3942,2028,192,63,10900
2002,221,45,70,94,148,844,2635,7643,12155,11757,4412,498,40522
2003,239,65,109,231,427,682,5469,8022,9163,8728,2762,526,36423
2004,210,203,164,209,499,1149,3610,14196,30565,8475,1419,268,60967
2005,222,84,146,318,607,1700,4689,16596,20499,7057,1143,176,53237
2006,72,64,96,176,1448,884,4407,16773,13911,4399,1823,124,44177
2007,80,94,105,163,454,1874,2912,16164,28192,11059,1109,156,62362
2008,68,88,83,157,397,986,2261,6231,18831,9093,2360,690,41245
2009,253,89,95,114,302,793,995,3760,7809,7693,1882,247,24032
2010,127,84,131,623,1090,2748,5455,34574,25482,7562,3914,1329,83119
2011,137,37,96,186,549,721,1878,6795,12126,6189,2529,519,31762
2012,191,56,156,125,490,496,1621,4358,8685,5336,956,238,22708
2013,180,83,219,469,431,298,1347,4516,6106,1973,1435,479,17536
2014,69,99,83,263,141,444,874,2567,4319,5605,1056,371,15891
2015,180,100,138,113,112,518,948,2797,6343,5994,1881,766,19890
2016,282,140,165,447,720,2397,6421,10388,8031,4229,849,469,34538
2017,322,124,108,144,234,935,3645,4545,8719,7063,1070,264,27173
2018,166,71,139,245,716,1066,3730,5259,9122,2754,824,427,24519
2019,286,230,206,316,651,1309,2566,14412,16394,5373,2237,291,44271
2020,360,33,-,-,-,-,-,-,-,-,-,-,393
Máximo*,322,395,219,623,1448,2748,6421,34574,30565,11757,4412,1329,83119
Média*,170,112,124,217,447,943,2686,8907,12083,5905,1597,378,33541
Mínimo*,49,37,58,42,58,175,395,2054,2317,1279,192,63,7747
